repo,repo_url,stars,description,total_candidates,ai_confirmed_count,confirmed_diagram_files
SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,4748,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",15,15,docs/source/contents/architecture/dataflow-inference-graph.png | docs/source/contents/architecture/dataflow.png | docs/source/contents/architecture/inference_graph.png | docs/source/contents/architecture/orchestrator-inference-graph.png | apis/mlops/agent/architecture.png | apis/mlops/scheduler/architecture.png | docs/source/contents/architecture/scheduler_autoscaling_state_diagram.png | docs-gb/.gitbook/assets/dataflow-inference-graph (1).png | docs-gb/.gitbook/assets/dataflow-inference-graph.png | docs-gb/images/dataflow-inference-graph (1).png | docs-gb/images/dataflow-inference-graph (2).png | docs-gb/images/dataflow-inference-graph.png | docs-gb/.gitbook/assets/architecture (2).png | docs-gb/.gitbook/assets/architecture.png | docs-gb/.gitbook/assets/autoscaling_architecture.png
feast-dev/feast,https://github.com/feast-dev/feast,7039,The Open Source Feature Store for AI/ML,15,15,docs/assets/feast_model_inference_architecture.png | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (1).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (2) (1) (1).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (2) (1) (2).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (2) (1).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (2) (2).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (2).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1) (3).svg | docs/.gitbook/assets/basic-architecture-diagram (3) (3) (3) (3) (3) (3) (1) (1) (1).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (1).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (2) (1) (1).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (2) (1) (2).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (2) (1) (3).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (2) (1) (4).svg | docs/.gitbook/assets/feast-architecture-diagrams (1) (1) (1) (2) (3) (4) (3) (1) (1) (1) (1) (2) (1) (5).svg
zenml-io/zenml,https://github.com/zenml-io/zenml,5415,ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.,15,15,docs/book/.gitbook/assets/SystemArchitecture.png | examples/mlops_starter/.assets/inference_pipeline.png | examples/mlops_starter/.assets/pipeline_overview.png | examples/mlops_starter/.assets/training_pipeline.png | examples/mlops_starter/.assets/feature_engineering_pipeline.png | docs/book/.gitbook/assets/04_architecture.png | docs/book/.gitbook/assets/cloud_architecture_saas_detailed.png | docs/book/.gitbook/assets/cloud_architecture_saas_detailed_2.png | docs/book/.gitbook/assets/cloud_architecture_self_hosted_detailed (1).png | docs/book/.gitbook/assets/rag-finetuning-embeddings-pipeline.png | docs/book/.gitbook/assets/secrets-store-architecture.png | docs/book/getting-started/zenml-pro/.gitbook/assets/cloud_architecture_saas_detailed.png | docs/book/getting-started/zenml-pro/.gitbook/assets/cloud_architecture_saas_detailed_2.png | docs/book/getting-started/zenml-pro/.gitbook/assets/cloud_architecture_scenario_1.png | docs/book/getting-started/zenml-pro/.gitbook/assets/cloud_architecture_scenario_1_2.png
ray-project/ray,https://github.com/ray-project/ray,42565,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,15,15,doc/source/cluster/kubernetes/images/kubeflow-architecture.svg | doc/source/cluster/kubernetes/images/benchmark_architecture.png | doc/source/ray-core/images/object_spilling_architecture.png | doc/source/ray-overview/examples/e2e-rag/images/batch_inference_rag_evaluation.png | doc/source/ray-overview/examples/e2e-rag/images/online_inference_rag_evaluation.png | doc/source/ray-overview/examples/e2e-rag/images/rag-user-query-pipeline.png | doc/source/rllib/images/algos/appo-architecture.svg | doc/source/rllib/images/algos/bc-architecture.svg | doc/source/rllib/images/algos/cql-architecture.svg | doc/source/rllib/images/algos/curiosity-architecture.svg | doc/source/rllib/images/algos/dqn-architecture.svg | doc/source/rllib/images/algos/dreamerv3-architecture.svg | doc/source/rllib/images/algos/icm-architecture.svg | doc/source/rllib/images/algos/impala-architecture.svg | doc/source/rllib/images/algos/marwil-architecture.svg
apache/airflow,https://github.com/apache/airflow,45443,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",15,15,airflow-core/docs/img/diagram_distributed_airflow_architecture.png | airflow-core/docs/img/diagram_auth_manager_airflow_architecture.png | airflow-core/docs/img/diagram_basic_airflow_architecture.png | airflow-core/docs/img/diagram_dag_processor_airflow_architecture.png | airflow-core/docs/img/diagram_fab_auth_manager_airflow_architecture.png | airflow-core/docs/img/diagram_multi_team_airflow_architecture.png | airflow-ctl/docs/images/diagrams/airflowctl_api_network_architecture_diagram.png | providers/fab/docs/img/diagram_fab_auth_manager_airflow_architecture.png | providers/amazon/docs/img/diagram_auth_manager_architecture.png | providers/edge3/docs/img/distributed_architecture.svg | airflow-core/docs/img/multi_team_arch_diagram.png | docs/images/documentation_architecture.png | airflow-core/docs/img/airflow-2-arch.png | airflow-core/docs/img/airflow-3-arch.png | airflow-core/docs/img/arch-diag-logging.png
milvus-io/milvus,https://github.com/milvus-io/milvus,44333,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",15,15,docs/design-docs/design_docs/cdc/user_docs/assets/cdc-replication-architecture.svg | docs/design-docs/assets/graphs/collection_flowgraph_1_1.jpg | docs/design-docs/assets/graphs/collection_flowgraph_1_n.png | docs/design-docs/assets/graphs/collection_flowgraph_n_1.jpg | docs/design-docs/assets/graphs/collection_flowgraph_n_n.jpg | docs/design-docs/assets/graphs/collection_flowgraph_relation.png | docs/design-docs/assets/graphs/dml_release_flow_graph_on_data_node.png | docs/design-docs/assets/graphs/dynamic_config_flowchart.jpg | docs/design-docs/assets/graphs/IndexState.png | docs/design-docs/assets/graphs/collection_dm_channels.png | docs/design-docs/assets/graphs/create_index.png | docs/design-docs/assets/graphs/datanode_design_01.jpg | docs/design-docs/assets/graphs/decouple.jpeg | docs/design-docs/assets/graphs/dml_create_collection.png | docs/design-docs/assets/graphs/dml_drop_collection.png
Hydrospheredata/hydro-serving,https://github.com/Hydrospheredata/hydro-serving,272,MLOps Platform,15,15,docs/.gitbook/assets/architecture (1) (4) (6) (5) (1).png | docs/.gitbook/assets/architecture (1) (4) (6) (5) (2).png | docs/.gitbook/assets/architecture (1) (4) (6) (5) (3).png | docs/.gitbook/assets/architecture (1) (4) (6) (5) (4).png | docs/.gitbook/assets/architecture (1) (4) (6) (5) (5).png | docs/.gitbook/assets/architecture (1) (4) (6) (5) (6).png | docs/.gitbook/assets/architecture (1) (4) (6) (5).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (1).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (2).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (3).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (4).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (5).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6) (6).png | docs/.gitbook/assets/hydrosphere_components (1) (4) (6) (6).png | docs/.gitbook/assets/ml_workflow_with_hydrosphere (1) (4) (6) (6) (1).png
kserve/website,https://github.com/kserve/website,111,User documentation for KServe.,15,15,docs/model-serving/generative-inference/llmisvc/imgs/architecture_overview.png | versioned_docs/version-0.16/model-serving/generative-inference/llmisvc/imgs/architecture_overview.png | versioned_docs/version-0.17/model-serving/generative-inference/llmisvc/imgs/architecture_overview.png | docs/model-serving/generative-inference/llmisvc/imgs/highlevel_arch_overview.png | versioned_docs/version-0.16/model-serving/generative-inference/llmisvc/imgs/highlevel_arch_overview.png | versioned_docs/version-0.17/model-serving/generative-inference/llmisvc/imgs/highlevel_arch_overview.png | docs/model-serving/generative-inference/llmisvc/imgs/dependency_overview_diagram.png | docs/model-serving/predictive-inference/detect/alibi/architecture.png | versioned_docs/version-0.16/model-serving/generative-inference/llmisvc/imgs/dependency_overview_diagram.png | versioned_docs/version-0.16/model-serving/predictive-inference/detect/alibi/architecture.png | versioned_docs/version-0.17/model-serving/generative-inference/llmisvc/imgs/dependency_overview_diagram.png | versioned_docs/version-0.17/model-serving/predictive-inference/detect/alibi/architecture.png | static/img/blog/2026-04-21-production-grade-llm-inference/kserve-architecture.webp | docs/model-serving/generative-inference/llmisvc/imgs/routing_flow.png | versioned_docs/version-0.16/model-serving/generative-inference/llmisvc/imgs/routing_flow.png
awslabs/aiops-modules,https://github.com/awslabs/aiops-modules,104,"AIOps modules is a collection of reusable Infrastructure as Code (IaC) modules for Machine Learning (ML), Foundation Models (FM), Large Language Models (LLM) and GenAI development and operations on AWS",15,15,modules/sagemaker/sagemaker-model-cicd/docs/_static/MLOps_Architecture.png | modules/sagemaker/sagemaker-model-package-promote-pipeline/docs/_static/architecture.drawio | modules/sagemaker/sagemaker-model-package-promote-pipeline/docs/_static/architecture.drawio.png | modules/sagemaker/sagemaker-model-monitoring/docs/_static/sagemaker-model-monitoring-module-architecture.png | modules/fmops/qna-rag/docs/_static/architecture.png | modules/fmops/qna-rag/docs/_static/ingestion_architecture.png | modules/mlflow/mlflow-fargate/docs/_static/mlflow-fargate-module-architecture.png | modules/sagemaker/sagemaker-model-package-group/docs/_static/architecture.drawio | modules/sagemaker/sagemaker-model-package-group/docs/_static/architecture.drawio.png | manifests/ray-on-eks/docs/ray-on-eks-architecture.png | modules/eks/ray-operator/docs/_static/ray-operator-module-architecture.png | modules/fmops/sagemaker-hugging-face-endpoint/docs/_static/sagemaker-hugging-face-fm-endpoint-module-architecture.png | modules/fmops/sagemaker-jumpstart-fm-endpoint/docs/_static/sagemaker-jumpstart-fm-endpoint-module-architecture.png | modules/sagemaker/hyperpod-eks-tf/docs/_static/sagemaker_hyperpod_eks_architecture.png | modules/sagemaker/sagemaker-endpoint/docs/_static/sagemaker-endpoint-module-architecture.png
mlrun/mlrun,https://github.com/mlrun/mlrun,1667,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications.",15,14,docs/genai/development/_static/rag_architecture.jpg | docs/_static/images/model-monitoring-data-flow.svg | docs/_static/images/end-to-end-pipeline-tutorial-workflow.png | docs/_static/images/feature-store-arch.png | docs/_static/images/feature-store-training-v2.png | docs/_static/images/feature-store-training.png | docs/_static/images/feature_store_diagram.png | docs/_static/images/mlrun-architecture.png | docs/_static/images/mlrun_concepts_architecture.png | docs/_static/images/pipeline-monitor-workflow.png | docs/_static/images/feature-store-flow.png | docs/_static/images/pipeline-with-monitoring.png | docs/_static/images/serving-graph-high-level.png | docs/_static/images/feature-store-graph.svg
